year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
2004,0.8373205741626795,0.30529668125410603,0.9060773480662982,35,16,20,window,514,209,50.0,88.52
2004,0.8373205741626795,0.30529668125410603,0.9060773480662982,40,16,20,window,514,209,50.0,88.52
2004,0.8373205741626795,0.30529668125410603,0.9060773480662982,45,16,20,window,514,209,50.0,88.52
2005,0.8309037900874635,0.08550119103421536,0.9058441558441559,5,16,20,window,296,343,50.0,92.13
2005,0.8279883381924198,0.13173813527246286,0.9034369885433715,10,16,20,window,418,343,50.0,92.13
2005,0.8483965014577259,0.18358449713701092,0.9155844155844156,15,16,20,window,510,343,50.0,92.13
2005,0.8629737609329446,0.23109530854030494,0.9240710823909533,20,16,20,window,546,343,50.0,92.13
2005,0.7871720116618076,0.1533498636123975,0.8764805414551607,25,16,20,window,560,343,50.0,92.13
2005,0.8542274052478134,0.21627893250460942,0.9188311688311689,30,16,20,window,562,343,50.0,92.13
2005,0.8542274052478134,0.21627893250460942,0.9188311688311689,35,16,20,window,562,343,50.0,92.13
2005,0.8542274052478134,0.21627893250460942,0.9188311688311689,40,16,20,window,562,343,50.0,92.13
2005,0.8542274052478134,0.21627893250460942,0.9188311688311689,45,16,20,window,562,343,50.0,92.13
2006,0.8797250859106529,0.18227796444090752,0.9347014925373134,5,16,20,window,290,582,50.0,93.81
2006,0.8762886597938144,0.26187478711074047,0.9320754716981132,10,16,20,window,458,582,50.0,93.81
2006,0.8402061855670103,0.20798546892693606,0.9104908565928778,15,16,20,window,564,582,50.0,93.81
2006,0.8831615120274914,0.13044644664858346,0.937037037037037,20,16,20,window,598,582,50.0,93.81
2006,0.8694158075601375,0.2005963227869068,0.928436911487759,25,16,20,window,612,582,50.0,93.81
2006,0.8556701030927835,0.1634795461814097,0.9204545454545454,30,16,20,window,616,582,50.0,93.81
2006,0.8556701030927835,0.1634795461814097,0.9204545454545454,35,16,20,window,616,582,50.0,93.81
2006,0.8556701030927835,0.1634795461814097,0.9204545454545454,40,16,20,window,616,582,50.0,93.81
2006,0.8556701030927835,0.1634795461814097,0.9204545454545454,45,16,20,window,616,582,50.0,93.81
2007,0.6471600688468159,0.1887789040479788,0.7709497206703911,5,16,20,window,280,581,50.0,92.43
